Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,1A data,Transfers and subsidies,1B data,Government investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2018,AGO,Angola,4.75,159,4,7.7,13.82,9.62,1.88,6.33,27.86,10,17,9,25,9.5,3.38,7.31,3.17,3.22,4.17,3.3,4.87,2.3,5.52,3.81,0.81,3.43,9.87,0.63,2.98,17.55,5.96,20.19,0,4.7,9.24,1.14,8.16,9.2,4.41,13.98,7.27,4.7,2.51,3.6,0,0,2.31,0.11,0.81,2.92,5,6.53,4,5.18,10,4.43,6.97,4,6.63,0,5.34,2.94,2.44,8.73,5.04,7.92,6.78,5.64,5.39
2018,ALB,Albania,7.8,26,1,8.16,12.27,6.74,12.47,8,22.02,9,23,7,34,8,9.54,8.09,3.56,3.65,4.94,8.3,5.71,3.91,6.72,5.61,0.95,5.17,9.96,-0.21,9.74,0.65,9.59,2.03,10,9.82,9.67,0.5,9.28,3.6,8.1,4.75,9.02,6.81,9.41,8.11,10,4.16,4.62,8.3,5.69,8.2,10,9.21,10,9.74,5.57,4.87,5.58,8,6.3,10,6.72,5.65,6.67,9.74,5.4,5.62,7.18,6.71,7.72
2018,ARE,United Arab Emirates,7.05,74,2,4.29,25.42,8.18,7.18,0,57.84,10,0,10,16,10,3.93,5.28,5.3,6.65,6.12,8.3,6.11,5.83,9.91,8.61,0.48,5.25,9.72,-1.38,6.81,7.98,9.39,3.07,10,8.98,10,0,9.04,4.8,6.31,9.22,8.45,7.11,8.33,7.72,10,10,5.38,5.31,6.9,8.27,5,10,8,7.67,10,6.93,7.38,6,10,0,6.72,7.03,5.78,9.69,7.25,10,8.7,8.07,7.49
2018,ARG,Argentina,5.78,144,4,5.94,19.81,6.31,14.05,7.59,23.45,7,35,1,57,4,6.41,6.05,4.27,4.26,5.63,7.5,4.78,3.82,6.86,4.41,0.79,4.63,5.67,21.66,6.45,8.87,3.14,34.3,5,5.07,7.11,4.34,7.28,13.6,5.92,10.2,6.77,5.07,5.65,5.36,10,7.6,6.92,7.97,7.49,7.41,5,4.26,8,5.75,2.77,2.24,3.19,10,2.52,10,5.12,2.71,6.67,9.58,7.2,5.73,6.51,6.4,5.76
2018,ARM,Armenia,7.92,18,1,7.72,13.76,7.71,8.9,9.3,17.46,5,36,5,36,5,9.51,7.85,4.01,4.89,6.02,5.8,5.45,5.2,9.82,6.67,1,5.98,9.11,4.45,9.62,0.96,9.5,2.52,10,9.56,9.03,1.46,8.7,6.5,7.58,6.05,8.44,5.69,9.32,7.5,10,8.34,5.38,10,7.91,8.46,10,8.64,10,9.55,6.67,5.6,7.25,10,9.25,0,6.46,5.17,6,9.86,6.3,9.3,7.04,7.28,7.76
2018,AUS,Australia,8.23,5,1,4.45,24.87,6.87,11.99,9.92,15.28,6,45,5,47,5.5,7.76,6.9,7.5,6.57,7.62,10,8.44,6.76,8.14,8.42,1,7.93,9.72,1.39,9.28,1.79,9.62,1.91,10,9.66,8.69,1.96,9.5,2.5,9.04,2.4,9.08,7.12,8.43,7.78,10,10,4.62,0.11,4.91,7.94,10,9.84,10,9.95,8.9,3.91,6.08,10,7.93,10,7.8,3.98,8.89,9.93,10,8.95,8.82,8.43,8.73
2018,AUT,Austria,7.8,26,1,3.77,27.18,3.49,24.4,10,12.43,4,55,3,59,3.5,7.55,5.66,6.78,6.9,7.64,10,8.62,6.99,8.1,8.6,1,7.95,7.96,10.21,9.86,0.34,9.6,2,10,9.36,9.13,1.3,8.96,5.2,6.7,8.26,8.26,6.66,9.98,8.32,10,10,3.08,7.74,6.94,8.38,8,9.71,10,9.24,8.9,4.78,2.49,6,10,3,5.86,4.47,9.56,9.24,8.3,7.3,8.53,7.9,7.67
2018,AZE,Azerbaijan,6.37,112,3,7.04,16.05,7.94,8.07,1.85,43.53,9,25,4,41,6.5,2.8,5.22,3.12,4.38,5.86,5,4.49,7.25,7.61,7.6,0.67,4.72,8.94,5.32,5.72,10.71,9.62,1.92,5,7.32,9.04,1.43,8.2,9,6.69,8.28,7.98,6.63,8.2,7.42,10,4.66,4.62,1.44,3.57,7.24,5,10,10,8.33,8.33,7.25,8.18,6,8.5,1,6.54,7.21,6.22,9.88,2.22,9.02,8.22,7.13,7.34
2018,BDI,Burundi,5.94,134,4,4.36,25.17,10,0.47,8.06,21.8,8,30,5,38,6.5,5.26,6.84,3.05,3.49,4.71,,3.16,2.81,8.55,5.37,0.95,4.34,7.97,10.17,7.84,5.39,9.44,-2.81,10,8.81,8.07,2.9,7.44,12.8,5.14,12.16,6.88,4.55,1.14,2.84,0,0,1.54,10,3.85,3.39,5,0,10,5,10,5.12,7.45,8,7.76,10,8.05,4.91,2.44,9.71,1.43,9.76,7.4,5.94,6.33
2018,BEL,Belgium,7.56,49,2,2.68,30.9,2.14,29.34,10,11.08,2,50-55,0,67-70,1,8.68,4.9,6.68,6.33,7.28,10,7.62,6.53,4.9,7.6,1,7.12,7.89,10.56,9.83,0.42,9.59,2.05,10,9.33,9.13,1.3,8.96,5.2,6.26,9.36,8.12,5.64,9.98,7.81,10,10,3.85,7.74,7.2,8.28,8,9.64,10,9.21,8.9,3.75,5.85,6,10,10,7.42,3.5,8.44,9.78,10,7.46,8.48,7.94,8.19
2018,BEN,Benin,6.2,125,4,7.29,15.23,9.77,1.34,5.47,30.84,4,45,3,46,3.5,7.09,6.62,4.98,4.51,5.28,,6.59,2.05,6.61,6.67,0.79,4.68,8.67,-6.63,9.77,0.57,9.8,1.02,0,7.06,5.84,6.24,7.56,12.2,7.02,7.44,6.81,5.13,5.16,5.15,10,1.66,0.77,1.77,1.4,5.84,10,5.46,5,6.82,7.77,6.13,7.6,8,7.57,1,6.34,4.54,4.22,9.68,8.46,9.48,6.97,7.22,6.8
2018,BFA,Burkina Faso,5.85,139,4,2.16,32.66,9.77,1.33,0.85,47.03,9,25,4,42,6.5,6.66,5.19,4.2,4.1,5.08,3.3,5.84,2.14,4.82,5.72,0.88,4.14,8.03,9.87,8.5,3.74,9.63,1.86,0,6.54,7.54,3.69,7.56,12.2,7.02,7.44,7.37,5.43,3.6,4.52,10,1.66,0.77,7.19,3.21,6.27,10,8.03,5,7.68,6.67,4.6,6.87,6,7.94,10,7.01,3.77,4.22,9.11,7.07,8.93,6.97,6.68,7.12
2018,BGD,Bangladesh,6.04,133,4,9.34,8.24,9.71,1.55,6.99,25.52,8,30,8,30,8,6.36,8.08,2.88,3.72,4.88,4.2,4.14,0.94,2.67,4.18,0.76,3.04,9.01,4.96,9.81,0.47,8.89,5.54,0,6.93,5.55,6.68,7.2,14,6.25,9.38,6.33,5.63,0,2.82,10,1.66,0,7.63,3.1,5.56,5,8.65,10,7.88,10,4.69,6.28,10,1.37,10,7.05,3.88,2.89,9.28,1.68,6.45,5.12,4.88,6.61
