,Happiness Score,Household Size,Income Per Capita,Percent Urban,Births Per 1000,Deaths Per 1000,Life Expectancy at Birth,Percent Young (<15),Percent Old (>65),Infant Mortality Rate,Fertility Rate,Target Class,"Gross enrolment ratio, tertiary",Literacy Rate,"School life expectancy, primary to tertiary, both sexes (years)",Human Freedom Score,Economic Freedom Summary Index,Press Freedom Index
Albania,4.959,3.7,13820.0,0.61,10.0,8.0,79.0,0.17,0.14,8.9,1.8,2.0,62.70684814,96.8,15.80047989,7.84,7.8,30.25
Angola,4.033,4.8,6780.0,0.63,44.0,9.0,61.0,0.48,0.02,66.0,6.1,2.0,9.923569679,70.4,10.35037041,5.89,4.75,33.92
Argentina,6.574,3.3,22470.0,0.92,17.0,8.0,78.0,0.24,0.12,8.8,2.3,1.0,79.98670197,97.9,17.28993034,7.1,5.78,28.78
Armenia,4.35,3.5,13190.0,0.64,12.0,9.0,76.0,0.2,0.12,6.0,1.6,2.0,51.00141907,99.6,12.32347965,7.53,7.92,28.6
Australia,7.284,2.5,49440.0,0.86,13.0,6.0,85.0,0.19,0.16,3.1,1.7,0.0,86.55455017,99.0,20.69058037,8.73,8.23,20.21
Austria,7.2,2.2,56720.0,0.59,10.0,9.0,82.0,0.14,0.19,2.7,1.5,0.0,80.38678741,98.0,16.08280945,8.58,7.8,15.78
Azerbaijan,5.212000000000001,4.1,13780.0,0.53,14.0,6.0,76.0,0.22,0.07,11.0,1.8,1.0,25.10750961,99.8,12.65042973,6.44,6.37,58.48
Bangladesh,4.694,4.3,4760.0,0.37,21.0,5.0,72.0,0.28,0.05,34.0,2.3,2.0,13.44079971,57.7,9.858059883,5.91,6.04,49.37
Belarus,5.813,2.5,18650.0,0.78,9.0,13.0,75.0,0.17,0.15,2.5,1.4,1.0,91.0297699,99.6,15.72469997,6.65,6.35,49.75
Belgium,6.937,2.3,52590.0,0.98,10.0,10.0,82.0,0.17,0.19,3.2,1.6,1.0,73.31880188,99.0,19.90726089,8.42,7.56,12.57
Benin,3.34,5.2,3200.0,0.45,42.0,9.0,61.0,0.46,0.02,55.0,5.7,2.0,15.36277962,42.4,12.13588047,6.94,6.2,35.11
Bhutan,5.252999999999999,4.2,10580.0,0.38,16.0,7.0,72.0,0.26,0.06,15.0,1.7,1.0,10.92693043,52.8,12.63358021,6.85,6.63,28.9
Bolivia,5.89,3.3,8640.0,0.69,22.0,6.0,73.0,0.31,0.07,29.0,2.8,1.0,39.09473038,91.2,14.61079979,6.96,6.3,35.37
Bosnia and Herzegovina,4.949,3.5,14920.0,0.49,8.0,11.0,77.0,0.15,0.17,6.0,1.3,2.0,47.57777023,98.0,14.41582012,7.5,6.9,28.51
Botswana,4.332,3.5,17460.0,0.7,21.0,9.0,64.0,0.31,0.05,28.0,2.5,2.0,27.51321983,85.1,13.07219982,7.17,7.6,23.56
Brazil,6.983,3.0,14530.0,0.87,14.0,6.0,76.0,0.21,0.09,10.0,1.7,1.0,46.44657898,90.4,15.19532013,7.12,6.56,34.05
Bulgaria,4.218,2.3,22650.0,0.74,9.0,16.0,75.0,0.14,0.22,5.6,1.6,2.0,70.78562927,98.4,15.04036999,7.88,7.74,35.06
Burkina Faso,3.5869999999999997,5.7,1890.0,0.3,38.0,8.0,61.0,0.45,0.02,52.0,5.2,2.0,4.775909901,28.7,7.692810059,6.84,5.85,23.47
Burundi,2.905,4.8,780.0,0.13,37.0,6.0,62.0,0.44,0.03,41.0,5.3,2.0,4.408170223,67.2,10.64743042,6.14,5.94,55.33
