Country,Code,Year,"School life expectancy, primary to tertiary, both sexes (years)"
Afghanistan,AFG,1970,2.418809891
Afghanistan,AFG,1971,2.539829969
Afghanistan,AFG,1972,2.618989944
Afghanistan,AFG,1973,2.677200079
Afghanistan,AFG,1974,2.810339928
Afghanistan,AFG,1975,2.715440035
Afghanistan,AFG,1976,2.834840059
Afghanistan,AFG,1977,2.941900015
Afghanistan,AFG,1978,3.091809988
Afghanistan,AFG,1982,1.794510007
Afghanistan,AFG,1986,2.458209991
Afghanistan,AFG,1990,2.592499971
Afghanistan,AFG,2003,6.839710236
Afghanistan,AFG,2004,7.858320236
Afghanistan,AFG,2009,9.193770409
Afghanistan,AFG,2011,9.7729702
Afghanistan,AFG,2014,10.77116013
Albania,ALB,1978,11.81256008
Albania,ALB,1981,11.75804996
Albania,ALB,1983,10.96794987
Albania,ALB,1984,11.05887032
Albania,ALB,1985,11.33520985
Albania,ALB,1986,11.59228992
Albania,ALB,1987,11.47126007
Albania,ALB,1988,11.4815197
Albania,ALB,1989,11.51513958
Albania,ALB,1990,11.63222027
Albania,ALB,1991,11.7966404
Albania,ALB,1992,10.69727993
Albania,ALB,1993,10.16119003
Albania,ALB,1994,10.12878036
Albania,ALB,1995,10.20691013
Albania,ALB,1996,10.27219009
Albania,ALB,1997,10.55303955
Albania,ALB,1998,10.72148991
Albania,ALB,1999,10.7398901
Albania,ALB,2000,10.64449978
Albania,ALB,2001,10.73729038
Albania,ALB,2002,10.72418022
Albania,ALB,2003,10.89233017
Albania,ALB,2004,10.8480196
Albania,ALB,2005,11.37541008
Albania,ALB,2006,11.55125046
Albania,ALB,2007,11.99888039
Albania,ALB,2008,12.23213959
Albania,ALB,2009,12.45481968
Albania,ALB,2010,13.28637028
Albania,ALB,2011,14.17967987
Albania,ALB,2012,14.98416042
Albania,ALB,2013,15.50646019
Albania,ALB,2014,15.80047989
Algeria,DZA,1987,9.492369652
Algeria,DZA,1988,9.646519661
Algeria,DZA,1990,9.607749939
Algeria,DZA,1991,9.658510208
Algeria,DZA,1992,9.767149925
Algeria,DZA,1993,9.788140297
Algeria,DZA,1994,9.865519524
Algeria,DZA,1995,9.845979691
Algeria,DZA,1996,10.00238037
Algeria,DZA,1999,10.74934006
Algeria,DZA,2001,11.14877033
Algeria,DZA,2002,11.49223995
Algeria,DZA,2003,11.72226048
Algeria,DZA,2004,12.03707027
Algeria,DZA,2005,12.25131989
Algeria,DZA,2006,12.34025955
Algeria,DZA,2007,12.57314968
Algeria,DZA,2009,13.57374954
Algeria,DZA,2010,14.01863003
Algeria,DZA,2011,14.35778046
Angola,AGO,1988,3.875309944
Angola,AGO,1989,3.978689909
Angola,AGO,1990,3.780950069
Angola,AGO,1991,3.566190004
Angola,AGO,1992,3.547070026
Angola,AGO,1998,4.20637989
Angola,AGO,2010,9.386190414
Angola,AGO,2011,10.35037041
Antigua and Barbuda,ATG,2007,14.38556004
Antigua and Barbuda,ATG,2009,14.09772968
Antigua and Barbuda,ATG,2010,14.05354023
Antigua and Barbuda,ATG,2011,13.76002026
Antigua and Barbuda,ATG,2012,13.94890022
Arab World,,1970,5.867218018
Arab World,,1971,5.836631775
Arab World,,1972,5.9918437
Arab World,,1973,6.171873569
Arab World,,1974,6.280296326
Arab World,,1975,6.498939037
Arab World,,1976,6.752883434
Arab World,,1977,6.964245796
Arab World,,1978,7.126948833
Arab World,,1979,7.327791691
Arab World,,1980,7.483920097
Arab World,,1981,7.596908569
Arab World,,1982,7.758738518
Arab World,,1983,7.893639088
Arab World,,1984,8.034143448
Arab World,,1985,8.165825844
Arab World,,1986,8.338693619
Arab World,,1987,8.479296684
Arab World,,1988,8.547410011
Arab World,,1989,8.496067047
Arab World,,1990,8.493761063
Arab World,,1991,8.532265663
Arab World,,1992,8.352574348
Arab World,,1993,8.462257385
Arab World,,1994,8.765226364
Arab World,,1995,8.703467369
Arab World,,1996,8.8565979
Arab World,,1997,8.991101265
Arab World,,1998,9.1443367
Arab World,,1999,9.32894516
Arab World,,2000,9.438475609
Arab World,,2001,9.597407341
Arab World,,2002,9.758900642
Arab World,,2003,9.909715652
Arab World,,2004,10.12516499
Arab World,,2005,10.42708302
Arab World,,2006,10.49715996
Arab World,,2007,10.56621456
Arab World,,2008,10.67816639
Arab World,,2009,10.78051949
Arab World,,2010,10.92488766
Arab World,,2011,11.06948185
Arab World,,2012,11.34316635
Arab World,,2013,11.33933449
Arab World,,2014,11.37792301
Argentina,ARG,1970,10.31021023
Argentina,ARG,1971,10.49129963
Argentina,ARG,1972,10.60046959
Argentina,ARG,1973,10.84076977
Argentina,ARG,1974,11.20837021
Argentina,ARG,1975,11.48711014
Argentina,ARG,1976,11.52225018
Argentina,ARG,1977,11.44373035
Argentina,ARG,1978,11.28800964
Argentina,ARG,1979,11.36155033
Argentina,ARG,1980,11.39134026
Argentina,ARG,1981,11.57297993
Argentina,ARG,1982,11.70398045
Argentina,ARG,1984,12.09259033
Argentina,ARG,1985,12.67560959
Argentina,ARG,1986,12.81105995
Argentina,ARG,1987,13.03621006
Argentina,ARG,1991,13.2074604
Argentina,ARG,1994,13.11196041
Argentina,ARG,1998,13.98029995
Argentina,ARG,1999,15.04757023
Argentina,ARG,2000,15.60820961
Argentina,ARG,2001,16.24970055
Argentina,ARG,2002,16.37247086
Argentina,ARG,2003,16.28051949
Argentina,ARG,2004,16.34407997
Argentina,ARG,2005,16.0970993
Argentina,ARG,2006,16.28417969
Argentina,ARG,2007,16.30158043
Argentina,ARG,2008,16.4713192
Argentina,ARG,2009,16.78288078
Argentina,ARG,2010,17.06236076
Argentina,ARG,2011,17.23823929
Argentina,ARG,2012,17.28993034
Argentina,ARG,2013,17.26049995
Armenia,ARM,1991,10.7372303
Armenia,ARM,1992,10.6343298
Armenia,ARM,1993,10.76667023
Armenia,ARM,1994,10.44845963
Armenia,ARM,1996,10.00677013
Armenia,ARM,1997,10.38337994
Armenia,ARM,1998,11.08242989
Armenia,ARM,1999,11.23157024
Armenia,ARM,2000,11.05111027
Armenia,ARM,2001,10.80696964
Armenia,ARM,2004,10.88949013
Armenia,ARM,2005,11.2216301
Armenia,ARM,2006,11.70028019
Armenia,ARM,2007,12.25504017
Armenia,ARM,2008,11.94569016
Armenia,ARM,2009,12.32347965
Aruba,ABW,1999,13.31709003
Aruba,ABW,2000,13.15913963
Aruba,ABW,2001,13.05780983
Aruba,ABW,2002,13.18045044
Aruba,ABW,2003,13.01924992
Aruba,ABW,2004,12.99458981
Aruba,ABW,2005,13.16353989
Aruba,ABW,2006,13.3986702
Aruba,ABW,2007,13.84832954
Aruba,ABW,2008,13.37448978
Aruba,ABW,2009,13.53759003
Aruba,ABW,2010,13.4792099
Aruba,ABW,2011,13.25562
Aruba,ABW,2012,13.69027996
Australia,AUS,1993,17.3397007
Australia,AUS,1994,17.31472015
Australia,AUS,1995,18.82378006
Australia,AUS,1996,19.38552094
Australia,AUS,1997,20.2050209
Australia,AUS,1998,20.08082962
Australia,AUS,1999,20.43062019
Australia,AUS,2000,20.52346039
Australia,AUS,2001,20.12356949
Australia,AUS,2002,20.55400085
Australia,AUS,2003,20.69058037
Australia,AUS,2004,20.3282795
Australia,AUS,2005,20.26676941
Australia,AUS,2006,18.99983978
Australia,AUS,2007,19.10692978
Australia,AUS,2008,19.13851929
Australia,AUS,2009,19.45399094
Australia,AUS,2010,19.77275085
Australia,AUS,2011,20.07755089
Australia,AUS,2012,20.34877014
Australia,AUS,2013,20.43272018
Austria,AUT,1971,11.81501007
Austria,AUT,1976,12.13953018
Austria,AUT,1981,12.37716007
Austria,AUT,1982,12.32503033
Austria,AUT,1983,12.41726017
Austria,AUT,1984,12.45557022
Austria,AUT,1985,12.6616497
Austria,AUT,1986,13.08757973
Austria,AUT,1987,13.27968025
Austria,AUT,1988,13.52517033
Austria,AUT,1989,13.87613964
Austria,AUT,1990,13.9565897
Austria,AUT,1991,14.1478796
Austria,AUT,1992,14.44571018
Austria,AUT,1993,14.44001961
Austria,AUT,1994,14.7797699
Austria,AUT,1995,14.8941803
Austria,AUT,1996,14.94631958
Austria,AUT,1997,15.02394962
Austria,AUT,1998,15.74100971
Austria,AUT,1999,15.35945988
Austria,AUT,2000,15.47247028
Austria,AUT,2001,16.08280945
Austria,AUT,2002,14.69382
Austria,AUT,2003,14.70586967
Austria,AUT,2004,14.92444038
Austria,AUT,2005,15.04487038
Austria,AUT,2006,15.18869972
Austria,AUT,2007,15.10793018
Austria,AUT,2008,15.27882957
Austria,AUT,2009,15.38208008
Austria,AUT,2010,15.65242004
Austria,AUT,2011,15.66357994
Austria,AUT,2012,15.72953987
Austria,AUT,2013,15.88609028
Austria,AUT,2014,15.91222954
Azerbaijan,AZE,1981,11.26105022
Azerbaijan,AZE,1986,11.55904961
Azerbaijan,AZE,1989,11.03452969
Azerbaijan,AZE,1990,10.68459988
Azerbaijan,AZE,1991,10.55998039
Azerbaijan,AZE,1992,10.62479973
Azerbaijan,AZE,1993,10.43731022
Azerbaijan,AZE,1994,10.13803005
Azerbaijan,AZE,1995,9.992500305
Azerbaijan,AZE,1996,9.762029648
Azerbaijan,AZE,1997,9.717969894
Azerbaijan,AZE,2006,11.63537979
Azerbaijan,AZE,2007,11.58580971
Azerbaijan,AZE,2008,11.62712955
Azerbaijan,AZE,2009,11.72556973
Azerbaijan,AZE,2010,11.65054035
Azerbaijan,AZE,2011,11.75671959
Azerbaijan,AZE,2012,11.93367004
Azerbaijan,AZE,2013,12.19892025
Azerbaijan,AZE,2014,12.65042973
Bahamas,BHS,1980,12.77250957
Bahamas,BHS,1981,12.37975025
Bahamas,BHS,1982,12.15649033
Bahamas,BHS,1983,11.99098969
Bahamas,BHS,1984,12.10692978
Bahamas,BHS,1985,12.24507046
Bahamas,BHS,1986,12.44579029
Bahamas,BHS,1995,11.71494007
Bahrain,BHR,1971,9.3957901
Bahrain,BHR,1972,9.400179863
Bahrain,BHR,1973,9.509180069
Bahrain,BHR,1974,9.752659798
Bahrain,BHR,1975,10.07559013
Bahrain,BHR,1976,10.03057003
Bahrain,BHR,1977,9.994589806
Bahrain,BHR,1978,10.05887985
Bahrain,BHR,1979,10.20625019
Bahrain,BHR,1980,10.36538029
Bahrain,BHR,1981,10.62979984
Bahrain,BHR,1982,11.05484009
Bahrain,BHR,1985,13.03878975
Bahrain,BHR,1986,13.48192024
Bahrain,BHR,1987,13.05391979
Bahrain,BHR,1988,13.07503033
Bahrain,BHR,1991,13.60396957
Bahrain,BHR,1992,13.32104969
Bahrain,BHR,1993,13.51424026
Bahrain,BHR,1994,13.61540985
Bahrain,BHR,1995,13.70913982
Bahrain,BHR,1996,13.61011982
Bahrain,BHR,1999,13.15563011
Bangladesh,BGD,1973,5.271550179
Bangladesh,BGD,1976,5.267950058
Bangladesh,BGD,1977,5.007359982
Bangladesh,BGD,1979,4.92031002
Bangladesh,BGD,1980,4.982339859
Bangladesh,BGD,1981,4.724160194
Bangladesh,BGD,1983,5.154059887
Bangladesh,BGD,1984,5.138629913
Bangladesh,BGD,1985,5.019450188
Bangladesh,BGD,1986,4.966959953
Bangladesh,BGD,1987,4.916689873
Bangladesh,BGD,1988,5.444459915
Bangladesh,BGD,1989,5.430399895
Bangladesh,BGD,1990,5.654230118
Bangladesh,BGD,2005,8.432370186
Bangladesh,BGD,2006,8.555330276
Bangladesh,BGD,2007,8.599419594
Bangladesh,BGD,2008,8.393070221
Bangladesh,BGD,2009,8.94674015
Bangladesh,BGD,2011,9.858059883
Barbados,BRB,1971,12.05010986
Barbados,BRB,1972,10.98752022
Barbados,BRB,1973,11.11038971
Barbados,BRB,1974,10.76587963
Barbados,BRB,1981,11.91032982
Barbados,BRB,1982,11.95347023
Barbados,BRB,1984,12.57837963
Barbados,BRB,1985,12.97824955
Barbados,BRB,1989,13.20557976
Barbados,BRB,1990,12.80688953
Barbados,BRB,1999,14.00045013
Barbados,BRB,2000,14.03824043
Barbados,BRB,2001,13.98361969
Barbados,BRB,2007,15.25020027
Barbados,BRB,2009,15.83882046
Barbados,BRB,2010,15.47931004
Barbados,BRB,2011,15.29255962
Belarus,BLR,1971,11.47474003
Belarus,BLR,1976,11.34210014
Belarus,BLR,1980,11.81840038
Belarus,BLR,1981,12.01175022
Belarus,BLR,1982,12.1097002
Belarus,BLR,1983,12.23421001
Belarus,BLR,1984,12.36345005
Belarus,BLR,1985,12.50244045
Belarus,BLR,1986,12.6065197
Belarus,BLR,1987,12.91292953
Belarus,BLR,1988,12.93344975
Belarus,BLR,1989,12.88370991
Belarus,BLR,1990,12.87812996
Belarus,BLR,1991,12.72191048
Belarus,BLR,1992,12.46065998
Belarus,BLR,1993,12.43336964
Belarus,BLR,1994,12.39529991
Belarus,BLR,1995,12.43824005
Belarus,BLR,1996,12.82495022
Belarus,BLR,1997,12.89288998
Belarus,BLR,1998,12.83773041
Belarus,BLR,2008,15.37257004
Belarus,BLR,2009,15.45506954
Belarus,BLR,2010,15.46578979
Belarus,BLR,2011,15.59469032
Belarus,BLR,2012,15.72469997
Belarus,BLR,2013,15.65275002
Belarus,BLR,2014,15.60171032
Belgium,BEL,1971,12.15114021
Belgium,BEL,1972,12.21924019
Belgium,BEL,1973,12.01051998
Belgium,BEL,1974,12.24662018
Belgium,BEL,1975,12.26408958
Belgium,BEL,1978,12.79726982
Belgium,BEL,1979,12.89498997
Belgium,BEL,1980,12.94283009
Belgium,BEL,1981,12.96339035
Belgium,BEL,1982,13.13619041
Belgium,BEL,1983,12.99645996
Belgium,BEL,1984,13.16518021
Belgium,BEL,1985,13.40130997
Belgium,BEL,1986,13.5625
Belgium,BEL,1987,13.71996975
Belgium,BEL,1988,13.89941978
Belgium,BEL,1989,14.0298996
Belgium,BEL,1990,14.12067986
Belgium,BEL,1991,14.15159988
Belgium,BEL,1993,16.61861992
Belgium,BEL,1994,16.90428925
Belgium,BEL,1995,17.29685974
Belgium,BEL,1996,17.56936073
Belgium,BEL,1999,18.02084923
Belgium,BEL,2000,18.2428093
Belgium,BEL,2001,18.78162003
Belgium,BEL,2002,18.59217072
Belgium,BEL,2003,18.81023026
Belgium,BEL,2004,15.70361996
Belgium,BEL,2005,15.74409008
Belgium,BEL,2006,15.8409996
Belgium,BEL,2007,15.8372097
Belgium,BEL,2008,15.82503986
Belgium,BEL,2009,15.94717979
Belgium,BEL,2010,16.05027008
Belgium,BEL,2011,16.21870995
Belgium,BEL,2012,16.29829025
Belgium,BEL,2013,19.60357094
Belgium,BEL,2014,19.90726089
Belize,BLZ,2001,11.86448956
Belize,BLZ,2003,12.54551029
Belize,BLZ,2004,12.85021973
Belize,BLZ,2005,12.31035995
Belize,BLZ,2006,12.82470989
Belize,BLZ,2007,12.77381992
Belize,BLZ,2008,12.71158028
